SMILES,delH_fusion,T_K,delH_fusion_log
ClC(Cl)(Cl)Br,2.03,267.1,0.708035793
ClC(Cl)(Cl)Br,2.03,267.9,0.708035793
ClC(Cl)(Cl)Br,2.54,267.5,0.932164081
ClC(Cl)(Br)Br,2.31,294.4,0.837247525
BrC(Br)(Br)Br,3.56,366.2,1.269760545
BrC(Br)(Br)Br,3.35,365,1.208960346
BrC(Br)(Br)Br,3.5,367,1.252762968
BrC(Br)(Br)Br,2.92,345.2,1.071583616
BrC(Br)(Br)Br,3.95,363.2,1.373715579
N#CCl,11.38,266.3,2.431857429
O=C(Cl)Cl,5.74,145.4,1.74745921
O=C(Cl)Cl,5.59,142.1,1.720979287
O=C(Cl)Cl,4.73,139.2,1.553925203
O=C(Cl)Cl,5.73,145.3,1.745715531
FC(Cl)(Cl)Cl,6.9,162.7,1.931521412
ClC(Cl)(Cl)Cl,2.52,250.3,0.924258902
ClC(Cl)(Cl)Cl,2.49,247.8,0.91228271
ClC(Cl)(Cl)Cl,2.52,250.2,0.924258902
ClC(Cl)(Cl)Cl,2.43,250.4,0.887891257
ClC(Cl)(Cl)Cl,2.69,249,0.989541194
O=S(=O)(Cl)C(Cl)(Cl)Cl,7.46,418.5,2.009555414
O=C(F)F,6.7,161.9,1.902107526
FC(F)(F)F,0.71,89.53,-0.342490309
FC(F)(F)F,0.71,89.56,-0.342490309
FC(F)(F)F,0.69,88.44,-0.371063681
FC(F)(F)F,0.7,89.5,-0.356674944
O=C=O,7.94,215.6,2.071913275
S=C=S,4.39,161.1,1.479329227
BrC(Br)Br,11.09,281.5,2.406043801
FC(F)Cl,4.12,115.7,1.415853163
ClC(Cl)Cl,9.54,209.6,2.255493485
ClC(Cl)Cl,8.9,200,2.186051277
FC(F)(F)S,4.93,116,1.595338988
C#N,8.4,259.9,2.128231706
N#CS,10.87,163.2,2.386006701
ClCCl,6.16,178.2,1.818076778
FCF,4.36,136.4,1.472472057
ICI,12.05,279.2,2.48906466
N#CN,8.76,317.2,2.170195905
N#CN,7.27,318.7,1.983756292
c1nn[nH]n1,18,430,2.890371758
c1nn[nH]n1,17.7,432.1,2.87356464
c1nn[nH]n1,18.4,430.7,2.912350665
C=O,7.53,155,2.018895042
CBr,5.98,179.5,1.788420568
CCl,6.42,174.5,1.859418118
CP(=O)(F)Cl,11.85,250.7,2.472327868
CP(=O)(Cl)Cl,18.08,306.1,2.894806355
CP(=O)(F)F,11.88,236.3,2.474856314
CI,9.12,206.8,2.210469804
N=CO,8.67,275.6,2.159868791
N=CO,7.98,275.7,2.076938411
C[N+](=O)[O-],9.7,244.8,2.272125886
CO[N+](=O)[O-],8.24,190.2,2.109000344
N=C(N)O,16.6,406.2,2.809402695
N=C(N)O,14.6,406.5,2.681021529
N=C(N)O,15.13,407.5,2.716679528
N=C(N)O,13.9,405.8,2.63188884
N=C(N)O,14.6,407.2,2.681021529
N=C(N)O,14.6,406.7,2.681021529
N=C(N)O,13.6,405.2,2.610069793
N=C(N)O,15.03,407.9,2.710048204
N=C(N)O,12.93,408.1,2.559550193
N=C(N)O,13.61,406,2.610804817
N=C(N)O,13.47,406.3,2.60046499
N=C(N)O,14.52,405.9,2.675527009
NC[N+](=O)[O-],11.86,324.2,2.473171394
N=C(N)S,15.17,450.2,2.719319793
N=C(N)S,15.64,444.7,2.749831735
N=C(N)S,12.55,452.2,2.529720666
N=C(N)S,16.96,454.2,2.83085763
N=C(N)S,15,454.4,2.708050201
N=C(N)S,14.42,445.5,2.668616132
N=C(N)S,15.28,455,2.726544784
N=C(N)S,13.8,453.3,2.624668592
N=C(N)N[N+](=O)[O-],33.46,505.2,3.510350696
CO,3.21,175.9,1.166270937
CO,3.22,175.6,1.16938136
CO,3.16,175.4,1.150572028
CO,3.17,175.2,1.153731588
CO,3.18,175.3,1.156881197
CS,5.9,150.2,1.774952351
CN,6.13,179.7,1.81319475
CP(=O)(O)O,10.41,382.1,2.342766883
CNN,10.42,220.8,2.343727036
FC(F)(Br)C(F)(F)Br,7.04,162.8,1.95160817
FC(F)=C(F)Cl,5.55,115,1.713797928
FC(F)(F)C(F)(F)Cl,1.88,173.7,0.631271777
FC(F)(Cl)C(F)(F)Cl,1.51,180.6,0.412109651
FC(F)(F)C(Cl)(Cl)Cl,4.11,287.5,1.413423029
FC(F)(Cl)C(F)(Cl)Cl,2.47,236.9,0.904218151
ClC(Cl)=C(Cl)Cl,10.88,250.8,2.386926241
FC(Cl)(Cl)C(F)(Cl)Cl,3.7,297.9,1.30833282
FC(Cl)(Cl)C(F)(Cl)Cl,3.7,299.7,1.30833282
ClC(Cl)(Cl)C(Cl)(Cl)Cl,9.75,458,2.277267285
O=C(F)C(=O)F,13.4,260.7,2.595254707
N#CC(F)(F)F,4.97,128.7,1.60341984
FC(F)=C(F)F,7.71,142,2.042518188
FC(F)(F)C(F)(F)F,2.69,173.1,0.989541194
N#CC#N,8.11,245.3,2.093097868
FC(F)(F)C(Cl)Br,4.84,154.7,1.576914721
FC(Cl)C(F)(F)Br,4.38,146.2,1.477048724
FC(F)(F)C(Cl)Cl,5.51,145.7,1.706564623
FC(F)(Cl)C(F)(Cl)Cl,7.08,135.7,1.957273908
ClC=C(Cl)Cl,8.45,188.5,2.134166441
O=C(O)C(Cl)(Cl)Cl,5.88,330.7,1.771556762
O=C(O)C(Cl)(Cl)Cl,5.9,332.3,1.774952351
FC(F)C(F)(F)F,2.25,172.6,0.810930216
C#C,3.76,192.4,1.324418957
ClC(Br)C(Cl)Br,8.3,206.3,2.116255515
C=C(Cl)Cl,6.51,150.59,1.873339456
FCC(F)(Cl)Cl,8.19,163,2.102913898
O=C(O)C(Cl)Cl,12.34,286.5,2.512846018
O=C(O)C(Cl)Cl,7.64,284,2.033397603
ClC(Cl)C(Cl)Cl,10.1,231,2.312535424
ClC(Cl)C(Cl)Cl,9.17,230.8,2.215937286
FCC(F)(F)F,2.01,169.4,0.698134722
O=C(O)C(=O)O,3.42,370,1.229640551
O=C(O)CBr,13.9,319.2,2.63188884
BrCC(Br)Br,9.11,244,2.209372711
C=CCl,4.92,119.3,1.593308531
CC(F)(F)Cl,2.69,142.4,0.989541194
O=C(O)CCl,16.3,334.8,2.791165108
O=C(O)CCl,12.28,334.4,2.507971923
O=C(O)CCl,13.88,329.2,2.630448955
O=C(O)CCl,16.3,334.3,2.791165108
CC(Cl)(Cl)Cl,2.35,243.1,0.854415328
CC(Cl)(Cl)Cl,1.89,239.2,0.636576829
CC(Cl)(Cl)Cl,1.88,240.1,0.631271777
CC(Cl)(Cl)Cl,1.88,240.2,0.631271777
ClCC(Cl)Cl,11.38,237.1,2.431857429
OCC(Cl)(Cl)Cl,10.05,290.6,2.307572635
CC(F)(F)F,6.19,161.9,1.822935087
O=C(O)CI,15.5,355.1,2.740840024
CC#N,8,228.2,2.079441542
CC#N,8.17,229.3,2.100468909
CC#N,8.91,229.2,2.187174241
CN=C=O,7.45,178.5,2.008214032
c1nc[nH]n1,16.1,393.5,2.778819272
c1nc[nH]n1,10.76,393.3,2.375835555
CC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],11.72,329.2,2.461296784
O=[N+]([O-])C(CO)([N+](=O)[O-])[N+](=O)[O-],2.72,344.9,1.00063188
C=C,3.35,104,1.208960346
C=C,2.92,103.6,1.071583616
ClCCBr,9.62,256.4,2.263844265
BrCCBr,10.94,283,2.392425797
BrCCBr,10.84,283.1,2.383242996
CC(Cl)Cl,7.87,176.2,2.063058062
ClCCCl,8.74,237.3,2.16791019
ClCCCl,8.83,237.2,2.178155015
ClCCCl,8.75,237.6,2.1690537
CC(F)F,1.57,154.6,0.451075619
N#CNC(=N)N,25,482.7,3.218875825
N#CNC(=N)N,22.96,487.6,3.133753571
Cn1cnnn1,15.7,315,2.753660712
Cn1ncnn1,12.37,286,2.515274186
Cc1nn[nH]n1,16,418,2.772588722
N=c1nc[nH][nH]1,21.93,428.3,3.087855562
CC=O,1.72,242.9,0.542324291
CC(=O)O,11.72,289.65,2.461296784
CC(=O)O,11.72,289.7,2.461296784
CC(=O)O,10.83,289.8,2.382320061
CC(=O)O,11.52,283.7,2.444084655
CC(=O)O,11.13,290.1,2.409644165
CCCl,4.45,134.8,1.492904096
CC(=N)O,15.5,355.2,2.740840024
CC(=N)O,15.5,354.1,2.740840024
CC(=N)O,15.6,353.5,2.747270914
CC(=N)O,15.6,353.3,2.747270914
CC(=N)O,16.4,355.5,2.797281335
CN=CO,10.44,270.6,2.345644582
COC(=N)O,16.46,328.8,2.800933195
COC(=N)O,16.7,328.6,2.815408719
CC[N+](=O)[O-],9.85,183.7,2.287471455
CCO[N+](=O)[O-],8.53,178.6,2.143589362
CC(=N)S,18.36,385.7,2.910174385
CC,0.58,90.3,-0.544727175
CC,2.86,89.9,1.050821625
CC,2.79,89.5,1.026041596
O=P(O)(O)CCCl,14.79,347.9,2.693951277
CNC(=N)O,12.5,372,2.525728644
CNC(=N)O,16.6,375,2.809402695
CNC(=N)O,14.06,378.1,2.643333886
CNC(=N)O,15.75,373.8,2.756840365
CNC(=N)O,13.97,375.3,2.636912173
CNC(=N)S,19.46,392.4,2.968361077
CNC(=N)S,16.3,393,2.791165108
CC(N[N+](=O)[O-])N[N+](=O)[O-],29.5,450,3.384390263
COC,4.94,131.7,1.597365331
CCO,5.08,158.6,1.625311262
CCO,4.64,158.8,1.534714366
CCO,4.97,159,1.60341984
CCO,5.02,158.5,1.613429934
CCO,4.96,158.7,1.601405741
CCO,4.63,156.2,1.532556868
CS(C)=O,12.34,292.2,2.512846018
CS(C)=O,14.37,291.7,2.6651427
OCCO,11.98,261.2,2.483238593
OCCO,11.1,261.6,2.406945108
OCCO,9.5,256.6,2.251291799
OCCO,9.96,260.6,2.298577072
CS(C)(=O)=O,18.28,382,2.905807566
CSC,7.98,174.9,2.076938411
CSSC,9.19,188.4,2.218115936
CNC,5.94,181,1.781709133
NCCO,13.32,283.2,2.589266665
NCCO,13.8,283.9,2.624668592
COP(N)(=O)SC,13.34,316.8,2.59076704
CN(C)N,10.07,216,2.309560707
CNNC,13.64,264.3,2.613006652
NCCN,21.08,284.1,3.048324724
NCCN,22.58,284.3,3.117064559
O=C(C(F)(F)F)C(F)(F)F,8.38,147.7,2.125847914
FC(F)(F)CC(F)(F)Cl,10.47,165.4,2.348514025
FC(F)(F)CC(Cl)(Cl)Cl,14.07,232.7,2.644044871
FC(F)OC(F)(F)OC(F)F,7.2,153,1.974081026
N#CCC#N,10.7,305,2.370243741
FC(F)(F)CC(Cl)Cl,10.13,182.2,2.315501318
C=CC#N,6.23,189.6,1.829376333
c1cscn1,9.58,239.4,2.259677592
c1ncncn1,14.56,353.4,2.678278043
c1ncncn1,14.58,353.9,2.679650727
FC(F)(F)CCCl,5.31,179.4,1.669591835
ClCCC(Cl)(Cl)Cl,10.49,237.7,2.350422422
c1c[nH]cn1,13.1,359.3,2.57261223
c1c[nH]cn1,11.18,362.3,2.414126468
c1c[nH]cn1,12.5,363.2,2.525728644
c1c[nH]cn1,12.82,361.9,2.551006451
c1cn[nH]c1,14.2,343.2,2.653241965
c1cn[nH]c1,13.8,333.1,2.624668592
N#CCC(=N)O,18.81,394.7,2.934388643
N#CCC(=N)O,18.97,394.2,2.942858784
N#CCC(=N)O,21.7,387.3,3.077312261
OC1=NC(S)=NC1,27.1,506.1,3.299533728
OC1=NC(O)=NC1,24.8,495.8,3.210843653
Sc1ncc[nH]1,17.5,503.5,2.862200881
O=[N+]([O-])N1CC([N+](=O)[O-])([N+](=O)[O-])C1,25.9,372.9,3.254242969
C=CC(=O)O,11.4,286.35,2.433613355
C=CC(=O)O,11.16,285.5,2.412335957
C=CC(=O)O,9.51,285.7,2.252343877
O=C1OCCO1,13.02,311.2,2.566486637
O=C1OCCO1,13.3,309.5,2.587764035
O=C(O)CC(=O)O,18.74,406,2.930660277
O=C(O)CC(=O)O,23.1,407.5,3.139832618
BrCC(Br)CBr,23.78,289.4,3.168844891
CCC#N,5.03,180.4,1.615419984
C=CC(=N)O,15.33,358,2.729811693
OC1=NCC1,17.5,349.2,2.862200881
SC1=NCCO1,15.9,370,2.766319109
OC1=NCCO1,17.3,360,2.850706502
SC1=NCCS1,16.8,377,2.821378886
O=[N+]([O-])OCC(CO[N+](=O)[O-])O[N+](=O)[O-],20.13,275.9,3.00221124
O=[N+]([O-])OCC(CO[N+](=O)[O-])O[N+](=O)[O-],21.87,285.5,3.085115835
C1CC1,5.44,145.6,1.693779061
C=CC,3,87.9,1.098612289
C=CC,2.93,88.2,1.075002423
BrCCCBr,14.64,238.6,2.683757509
CC(Cl)CCl,6.4,172.7,1.85629799
CC(C)(Cl)Cl,2.39,239.6,0.871293366
CC(C)(Cl)Cl,2.34,239.3,0.850150929
O=C1NCCN1,11.5,401.2,2.442347035
OC1=NCCN1,14.7,403,2.687847494
CC(C)([N+](=O)[O-])[N+](=O)[O-],2.64,324.5,0.970778917
CC(C)([N+](=O)[O-])[N+](=O)[O-],2.41,326,0.879626748
CC(CO)([N+](=O)[O-])[N+](=O)[O-],2.85,366.7,1.047318994
Cc1nnnn1C,14.7,349,2.687847494
Cc1nnn(C)n1,13.5,256.4,2.602689685
O=[N+]([O-])N1CCN([N+](=O)[O-])C1,25.08,410,3.222070716
O=NN1CN([N+](=O)[O-])CN([N+](=O)[O-])C1,25.97,446,3.256942026
O=[N+]([O-])N1CN([N+](=O)[O-])CN([N+](=O)[O-])C1,33.5,476.7,3.511545439
O=[N+]([O-])N1CN([N+](=O)[O-])CN([N+](=O)[O-])C1,32.98,478.5,3.495901317
O=[N+]([O-])N1CN([N+](=O)[O-])CN([N+](=O)[O-])C1,33.6,477.4,3.514526067
O=[N+]([O-])N1CN([N+](=O)[O-])CN([N+](=O)[O-])C1,33.43,478.3,3.5094537
O=[N+]([O-])N1CN([N+](=O)[O-])CN([N+](=O)[O-])C1,37.66,478.2,3.628598523
CC(C)=O,5.77,179,1.752672081
CC(C)=O,5.72,176.6,1.743968805
CC(C)=O,5.69,177.6,1.738710248
CC(C)=O,4.77,178.5,1.562346305
C1COC1,6.27,173.2,1.835776355
CCC=O,8.59,171.3,2.150598736
CC1CO1,6.53,161.3,1.876406943
C1COCO1,6.57,175.9,1.882513832
COC(C)=O,7.49,174.9,2.013568798
CCC(=O)O,11.25,252.5,2.420368129
CCC(=O)O,10.66,252.7,2.366498419
CCC(=O)O,7.24,253.4,1.979621206
O=C(O)CCS,16.97,291.9,2.831447079
COC(=O)CO,11.4,272.8,2.433613355
COC(=O)OC,11.58,278.2,2.449279472
C1OCOCO1,15.1,333.4,2.714694744
CC(O)C(=O)O,11.34,289.9,2.428336298
CC(C)Br,6.55,184.1,1.87946505
CC(C)Cl,7.39,155.8,2.000127735
CC(C)Cl,7.39,156,2.000127735
NC1CC1,13.18,237.8,2.578700529
CCC(=N)O,12.9,352.6,2.557227311
CN(C)C=O,8.95,212.9,2.191653532
CN=C(C)O,10.11,303.7,2.313525033
CN=C(C)O,9.73,303.8,2.275213896
CCOC(=N)O,16.79,321.4,2.820783471
CCOC(=N)O,15.23,321.9,2.723267167
CC(C)O[N+](=O)[O-],10.1,190.9,2.312535424
CCC,3.51,85.5,1.255616037
CCNC(=N)O,9.6,356.7,2.261763098
CCNC(=N)O,14.65,368.9,2.684440335
CCNC(=N)O,14.39,365.1,2.666533521
CCNC(=N)O,13.94,367.8,2.634762405
CN(C)C(=N)O,22.97,455.2,3.134189017
CN=C(O)NC,12.76,375.2,2.546315278
CN=C(O)NC,13,379.5,2.564949357
CN=C(O)NC,12.43,379.9,2.520112906
CCOC(O)=NN,20,318.9,2.995732274
CN=C(S)NC,13.71,337,2.618125494
CN=C(S)NC,12.7,336.9,2.541601993
CN=C(S)NC,11.4,339,2.433613355
CCNC(=N)S,21.34,380.8,3.060583246
CN(CN(C)[N+](=O)[O-])[N+](=O)[O-],16.81,327.1,2.821973947
CN(CN(C)[N+](=O)[O-])[N+](=O)[O-],16.79,327.6,2.820783471
CN(CN(C)[N+](=O)[O-])[N+](=O)[O-],16.36,330.2,2.794839331
CCCO,5.4,148.7,1.686398954
CCCO,5.37,148.8,1.680827909
CC(C)O,5.41,185.2,1.688249093
CC(C)O,5.37,184.7,1.680827909
CC(C)O,5.3,184.6,1.667706821
COCOC,8.33,168,2.119863456
C[C@@H](O)CO,8.4,240,2.128231706
CC(O)CO,8.4,240,2.128231706
OCCCO,13.47,253.2,2.60046499
OCCCO,11.4,249,2.433613355
OCCCO,7.1,245.5,1.960094784
CCS(C)(=O)=O,11.3,307.7,2.424802726
OCC(O)CO,14.7,289.7,2.687847494
OCC(O)CO,18.28,291,2.905807566
CCSC,9.76,167.2,2.2782924
CCCS,5.48,160,1.701105101
CC(C)S,5.73,142.6,1.745715531
CC(C)N,7.33,178,1.991975516
CCCN,10.97,188.4,2.395164274
CN(C)C,6.55,156.1,1.87946505
NCCCO,16.9,284.1,2.827313622
NCCCN,12.19,262.4,2.500615943
CC(N)CN,18.42,236.5,2.913437031
CNN(C)C,9.49,201.2,2.250238613
Brc1sc(Br)c(Br)c1Br,21.1,391.8,3.04927304
FC(F)(F)C1=N[SH2]N=C1C(F)(F)F,11.5,284,2.442347035
Clc1ccc(Cl)s1,12,231.4,2.48490665
Clc1ccc(Cl)s1,11.87,232.7,2.474014209
O=C1C=CC(=O)O1,13.55,325.7,2.606386547
O=C1C=CC(=O)O1,13.65,326,2.613739522
O=C1C=CC(=O)O1,12.93,325,2.559550193
Brc1cccs1,7.9,203.9,2.066862759
Clc1cccs1,8.97,201.3,2.193885676
Clc1ccsc1,9.39,214.2,2.239645293
CC(=O)OC(F)(F)OC(F)(F)F,8.51,167.4,2.141241943
Cn1cnc(Cl)c1Cl,17,330.1,2.833213344
c1cnccn1,15.3,326.5,2.727852828
c1cnccn1,14.78,325.4,2.693274916
c1cnccn1,12.95,328.2,2.561095788
c1cncnc1,13,294.3,2.564949357
N#CCCC#N,3.7,329.7,1.30833282
N#CCCC#N,3.75,330.3,1.32175584
N#CCCC#N,3.72,331.2,1.313723668
O=C1N=C(O)CC(O)=N1,20.33,526.2,3.012097628
O=C1N=C(O)CC(O)=N1,20.87,526.4,3.038312721
c1ccoc1,3.8,187.6,1.335001067
O=C1COC(=O)CO1,14.8,356.2,2.694627181
c1ccsc1,5.04,235,1.617406082
c1ccsc1,4.97,233.7,1.60341984
C/C(Cl)=C/C(=O)O,20.71,366.8,3.030616675
C/C(Cl)=C\C(=O)O,13.81,333.7,2.625392967
c1cc[nH]c1,7.91,249.7,2.068127782
Cc1nccs1,12.16,248.6,2.498151877
Cc1cscn1,8.9,229.1,2.186051277
Cc1cncs1,7.65,232.8,2.034705648
C=C=CC,6.95,136.9,1.93874166
C=CC=C,7.82,164.2,2.056684555
C=CC=C,7.98,164.3,2.076938411
C#CCC,6.03,147.4,1.796747011
CC#CC,9.23,240.9,2.222459049
COC(F)(F)C(F)(F)OC,10.75,252,2.374905755
Cn1ccnc1,12.3,268.6,2.509599262
Cn1ccnc1,12.11,272.2,2.494031558
Cc1ncc[nH]1,12.67,419,2.539236994
Cn1cccn1,11.4,229.2,2.433613355
CN1CC(O)=NC1=O,21.5,428.9,3.068052935
CCn1cc([N+](=O)[O-])nn1,16.4,349,2.797281335
O=[N+]([O-])N1CN([N+](=O)[O-])CC([N+](=O)[O-])([N+](=O)[O-])C1,29.37,430,3.379973745
O=C1CCC1,10.8,220.5,2.379546134
O=C1CCCO1,9.57,229.8,2.258633205
C=CC(=O)OC,9.73,197.5,2.275213896
C=COC(C)=O,8.46,180.6,2.135349174
C=C(C)C(=O)O,8.06,287.5,2.086913557
C/C=C\C(=O)O,12.57,344.4,2.531313023
CC1COC(=O)O1,8.96,220.3,2.192770227
CC1COC(=O)O1,8.01,218.7,2.080690761
CC1COC(=O)O1,9.62,218.2,2.263844265
O=C1COCCO1,16.14,301.7,2.781300663
COC(=O)C(=O)OC,21.07,327.6,3.047850228
O=C(O)CCC(=O)O,27.4,460.1,3.310543013
O=C(O)CCC(=O)O,31.26,458,3.442339325
O=C(O)CCC(=O)O,34,455.2,3.526360525
O=C(O)CCC(=O)O,32.95,457,3.494991261
O=C(O)CC(O)C(=O)O,29.03,403,3.368329778
O=C(O)CC(O)C(=O)O,33.52,402,3.512142276
O=C(O)CC(O)C(=O)O,30.17,396,3.406848053
O=C(O)CC(O)C(=O)O,23.01,376,3.135928904
C=C(C)C(=N)O,15,385.1,2.708050201
OC1=NCCC1,13.92,299,2.633326655
SC1=NCCCO1,18.4,400.2,2.912350665
OC1=NC[C@H](O)C1,23.41,392,3.153163282
OC1=NCC(O)C1,28.49,429.8,3.349553149
OC1=NCC(O)C1,26.74,394.8,3.286160572
CC1=NCCS1,6.6,209.1,1.887069649
C=CCC,3.85,87.8,1.348073148
C/C=C\C,7.05,134.5,1.953027617
C/C=C\C,7.31,134.3,1.989243274
C/C=C\C,7.32,133.8,1.990610328
C/C=C/C,9.76,167.6,2.2782924
C1CCC1,1.09,182.4,0.086177696
C1CCC1,1.04,183,0.039220713
C=C(C)C,5.92,132.4,1.778336449
OCC(Br)C(Br)CO,29.29,363.2,3.377246161
ClCCOCCCl,8.39,226.5,2.12704052
COP(=O)(OC)C(O)C(Cl)(Cl)Cl,20.37,351,3.01406323
COP(=O)(OC)C(O)C(Cl)(Cl)Cl,22.4,357,3.109060959
COP(=O)(OC)C(O)C(Cl)(Cl)Cl,25,384,3.218875825
CC(O)=NC(=O)CN,26.7,412.2,3.284663565
CC(O)=NC(=O)CN,25.6,408.2,3.242592351
O=[N+]([O-])N1CCN([N+](=O)[O-])CN([N+](=O)[O-])C1,27.74,435.9,3.322875415
[N-]=[N+]=NCN(CN(CN(CN=[N+]=[N-])[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-],40.17,406,3.693120448
OC1CCC1,8.53,228.4,2.143589362
CCC(C)=O,8.44,186.5,2.132982309
CCCC=O,11.09,176.8,2.406043801
C1CCOC1,8.54,164.8,2.144761008
O=S1CCCC1,0.51,231.8,-0.673344553
CCCC(=O)O,7.55,267.55,2.021547563
CCCC(=O)O,11.59,268,2.450142657
CCCC(=O)O,11.07,267.4,2.404238747
C1COCCO1,16.39,277.2,2.796671393
C1COCCO1,10.3,284.3,2.332143895
C1COCCO1,12.84,284.1,2.552565298
C1COCCO1,11.88,283.2,2.474856314
CCOC(C)=O,10.48,189.3,2.349468679
CCOC(=O)OC,11.24,219.4,2.419478844
C1CCSC1,7.35,177,1.994700313
C1CSCSC1,14.4,327.2,2.667228207
C1CSCCS1,21.6,384.6,3.072693315
CCCCBr,9.12,160.9,2.210469804
CCCCBr,9.23,160.4,2.222459049
CCC(C)Br,6.88,160.3,1.928618652
CC(C)(C)Br,1.97,256.1,0.678033543
CC(C)(C)Cl,1.89,247.8,0.636576829
CC(C)(C)Cl,1.92,248.6,0.652325186
CC(C)(C)Cl,1.97,248.1,0.678033543
CC(C)(C)Cl,1.99,248.4,0.688134639
CC(C)(C)Cl,2.07,247.5,0.727548607
CC(C)(C)Cl,2.01,248.2,0.698134722
C1CCNC1,8.58,215.3,2.149433913
CCCC(=N)O,19.2,387.3,2.954910279
CC(C)C(=N)O,19.8,401.2,2.985681938
CC(C)C(=N)O,19.2,400.1,2.954910279
CC(=O)N(C)C,10.2,254.2,2.32238772
CC(=O)N(C)C,8.2,253.2,2.104134154
CC(=O)N(C)C,10.42,251.4,2.343727036
CC(C)(C)[N+](=O)[O-],2.56,298.5,0.940007258
CC(C)(C)[N+](=O)[O-],2.6,299.2,0.955511445
CC(C)(CO)[N+](=O)[O-],3.17,363.9,1.153731588
CC(C)(CO)[N+](=O)[O-],3.74,361,1.319085611
CC(C)(CO)[N+](=O)[O-],3.3,364,1.193922468
CC(CO)(CO)[N+](=O)[O-],3.84,424,1.345472367
CCCC,4.66,134.9,1.539015448
CCCC,4.37,134.1,1.474763009
C1CNCCN1,22.1,381.8,3.095577609
CCCNC(=N)O,11.9,370.2,2.4765384
CCCNC(=N)O,14.92,383,2.702702595
CCCNC(=N)O,14.63,381,2.683074215
CC(C)NC(=N)O,17.4,427.4,2.856470206
CN=C(O)N(C)C,14.3,344.4,2.660259537
CN=C(S)N(C)C,17.3,358.3,2.850706502
CN=C(S)N(C)C,19.3,357.1,2.960105096
CCN(CN(C)[N+](=O)[O-])[N+](=O)[O-],19.28,304.4,2.959068289
CCN(CN(C)[N+](=O)[O-])[N+](=O)[O-],19.28,304.8,2.959068289
CCCCO,9.28,183.9,2.227861547
CCC(C)O,5.97,184.7,1.786746927
CCC(C)O,6,177.4,1.791759469
CC(C)CO,6.32,171.2,1.843719208
CC(C)(C)O,6.42,295.1,1.859418118
CC(C)(C)O,6.7,299,1.902107526
CC(C)(C)O,6.78,298.5,1.913977102
CCOCC,7.19,156.9,1.972691172
COC(C)C,5.85,127.3,1.766441661
CCCOC,7.67,134,2.037316615
OCCCCO,17.48,294.2,2.86105737
OCCCCO,18.1,292.6,2.895911938
OCCCCO,17,289,2.833213344
OCCCCO,12,289.9,2.48490665
OCCCCO,18.7,293.6,2.928523524
CC(O)C(C)O,10.8,306.6,2.379546134
C[C@H](O)[C@H](C)O,11.6,291.3,2.451005098
OC[C@H](O)[C@@H](O)CO,29.1,361.8,3.370738174
CCCCS,10.46,157.5,2.347558459
CCC(C)S,6.48,133,1.86872051
CC(C)CS,4.98,128.3,1.605429891
CC(C)(C)S,2.48,274.4,0.90825856
CCSCC,11.92,169.2,2.478217662
CSC(C)C,9.36,171.7,2.23644529
CCCSC,9.91,160.2,2.293544348
CCSSCC,9.4,171.6,2.240709689
CC(C)(C)N,0.88,206.2,-0.127833372
CCNCC,13.3,224.7,2.587764035
